id,pregunta,respuesta,categoria,dificultad,asignado_a,estado,notas,fecha_revision,fuente
156,�En d�nde desemboca el r�o europeo Bug Meridional?,Mar Negro,geografia,facil,todos,no_sabia,,2026-03-17,trivial2b
206,�Que tipo de gobierno se implanta en Francia en 1791 al comienzo de la revoluci�n francesa?,Monarqu�a Constitucional,historia_universal,facil,todos,no_sabia,,2026-03-17,trivial2b
222,¿En qué provincia se encuentra la ciudad de Mar del Plata?,Buenos Aires,geografia,facil,todos,sabia,,2026-03-17,preguntados_utn
317,¿Quién fue Julio César?,Dictador y general romano,historia_universal,facil,todos,sabia,,2026-03-17,opentriviaqa
494,¿Cómo se llama a los habitantes de Buenos Aires (ciudad)?,Porteños,geografia,facil,todos,sabia,,2026-03-17,generada
346,¿Quién formuló la teoría de la relatividad?,Albert Einstein,ciencia,facil,todos,sabia,,2026-03-17,opentriviaqa
545,¿Qué instrumento se usa para medir la presión atmosférica?,Barómetro,terminologia,media,santiago,sabia,,2026-03-17,generada
338,¿Cuál fue la primera civilización de Mesopotamia?,Sumeria,historia_universal,media,marcos,sabia,,2026-03-17,opentriviaqa
40,¿Cual de estos compuestos orgánicos NO es oxigenado?,Aminas,ciencia,facil,todos,no_sabia,,2026-03-17,trivial2b
231,¿Qué famoso autor argentino escribió 'El Aleph'?,Jorge Luis Borges,historia_argentina,facil,todos,sabia,,2026-03-17,preguntados_utn
305,¿Quién fue Napoleón Bonaparte?,Emperador de Francia,historia_universal,facil,todos,sabia,,2026-03-17,opentriviaqa
129,�A qui�n se considera el Rey del Pop?,Michael Jackson,otro,facil,todos,sabia,,2026-03-17,trivial2b
462,"¿Qué ciudad es sagrada para el judaísmo, el cristianismo y el Islam?",Jerusalén,otro,facil,todos,sabia,,2026-03-17,opentriviaqa
396,¿De qué país era originario Mozart?,Austria (Salzburgo),musica,facil,todos,sabia,,2026-03-17,opentriviaqa
504,¿Cómo se llama el mar interior entre Europa y África?,Mar Mediterráneo,geografia,facil,todos,sabia,,2026-03-17,generada
286,¿Qué mar baña las costas de Croacia?,Mar Adriático,geografia,media,tiziano,no_sabia,,2026-03-17,opentriviaqa
308,¿Qué tratado puso fin a la Primera Guerra Mundial?,Tratado de Versalles,historia_universal,media,marcos,no_sabia,,2026-03-17,opentriviaqa
638,¿Qué filósofo declaró que 'Dios ha muerto'?,Friedrich Nietzsche,filosofia,facil,todos,no_sabia,,2026-03-17,generada
282,¿Cuál es la capital de Irak?,Bagdad,geografia,media,tiziano,no_sabia,,2026-03-17,opentriviaqa
464,¿Quién fue Mahoma?,Profeta fundador del Islam,otro,facil,todos,no_sabia,,2026-03-17,opentriviaqa
669,¿Quién era Urano en la mitología griega?,"El dios primordial del cielo, esposo de Gea",mitologia,media,marcos,no_sabia,,2026-03-17,generada
400,¿En qué ciudad se originó el tango?,Buenos Aires (y Montevideo),musica,facil,todos,no_sabia,,2026-03-17,opentriviaqa
580,¿Quién propuso el principio de incertidumbre?,Werner Heisenberg,ciencia,dificil,santiago,no_sabia,,2026-03-17,generada
223,¿En qué ciudad se celebra anualmente el Festival Nacional de la Vendimia?,Mendoza,geografia,facil,todos,no_sabia,,2026-03-17,preguntados_utn
434,¿Quién escribió 'La Divina Comedia'?,Dante Alighieri,literatura,facil,todos,no_sabia,,2026-03-17,opentriviaqa
469,¿En qué país se originó el budismo?,India (actual Nepal/India),otro,media,todos,no_sabia,,2026-03-17,opentriviaqa
